station_id,dir_of_travel,lane_of_travel,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
26,1,1,1/1/2022,71,77,63,60,52,52,69,91,126,253,358,396,409,377,319,269,300,243,239,175,138,138,119,89
26,1,2,1/1/2022,9,9,6,12,4,4,7,5,21,55,104,129,145,114,100,61,94,59,59,35,38,31,15,12
26,5,1,1/1/2022,57,51,33,26,39,62,71,144,207,291,365,389,407,351,351,323,302,249,227,179,134,119,123,79
26,5,2,1/1/2022,7,10,4,6,6,8,13,27,37,84,136,147,128,121,111,92,92,68,58,38,24,18,16,13
26,1,1,1/2/2022,71,56,34,41,48,67,58,102,127,232,348,414,511,565,643,646,596,548,419,350,272,202,140,111
26,1,2,1/2/2022,9,3,4,5,5,6,8,6,20,49,104,180,221,319,352,449,422,372,198,144,92,54,35,32
26,5,1,1/2/2022,64,36,30,39,48,84,164,265,370,493,658,660,635,665,584,503,476,380,317,270,170,119,102,67
26,5,2,1/2/2022,7,5,6,8,3,16,37,77,142,265,427,581,445,409,388,254,213,152,128,65,49,24,9,11
26,1,1,1/3/2022,86,85,59,71,111,197,218,292,274,289,345,404,388,428,440,474,430,378,318,249,208,178,143,101
26,1,2,1/3/2022,17,11,9,10,14,36,70,78,73,72,103,143,159,155,189,213,199,164,119,77,69,32,29,25
26,5,1,1/3/2022,58,54,51,52,89,143,252,335,411,460,504,493,482,483,480,482,438,393,326,276,214,179,159,99
26,5,2,1/3/2022,6,3,7,5,10,26,70,132,157,256,300,311,240,264,253,265,219,199,136,80,50,41,31,13
26,1,1,1/4/2022,86,74,64,73,119,227,256,302,287,309,364,332,383,407,409,415,379,353,295,227,180,148,122,102
26,1,2,1/4/2022,10,8,5,17,26,47,61,81,90,97,111,112,139,140,158,186,157,154,111,66,48,23,25,18
26,5,1,1/4/2022,87,58,63,72,103,141,284,323,357,414,448,428,443,439,461,451,450,380,316,240,183,188,132,95
26,5,2,1/4/2022,11,10,11,9,10,31,98,135,125,151,185,240,212,196,219,219,234,211,110,68,50,60,29,16
